P01023	A2MG_HUMAN	NM_000014
A0A024R5V1	A0A024R5V1_HUMAN	NM_017672
Q96QT4	TRPM7_HUMAN	NM_001301212,NM_017672
Q5T5J6	SWT1_HUMAN	NM_001105518,NM_017673
Q9BYE9	CDHR2_HUMAN	NM_001171976,NM_017675
Q9NXP7	GIN1_HUMAN	NM_017676
Q96EF0	MTMR8_HUMAN	NM_017677
Q6UWF7	NXPE4_HUMAN	NM_001077639,NM_017678
Q05D99	Q05D99_HUMAN	NM_017679
Q9H6U6	BCAS3_HUMAN	NM_001099432,NM_017679
Q6P528	Q6P528_HUMAN	NM_017680
Q9BXN1	ASPN_HUMAN	NM_001193335,NM_017680
Q9H1M0	N62CL_HUMAN	NM_017681
Q8NFU1	BEST2_HUMAN	NM_017682
Q9NXN4	GDAP2_HUMAN	NM_001135589,NM_017686
Q5W0U4	BSPRY_HUMAN	NM_017688
B7Z7G0	B7Z7G0_HUMAN	NM_001199017,NM_001199018,NM_001284357,NM_017691
Q8IUZ0	LRC49_HUMAN	NM_001199017,NM_001199018,NM_001284357,NM_017691
Q86UB2	BIVM_HUMAN	NM_001159596,NM_017693
Q6ZSS7	MFSD6_HUMAN	NM_017694
Q6NXG1	ESRP1_HUMAN	NM_001034915,NM_001122825,NM_001122826,NM_001122827,NM_017697
Q9NXL6	SIDT1_HUMAN	NM_001308350,NM_017699
Q9NXL2	ARH38_HUMAN	NM_001242729,NM_017700
Q9NXK8	FXL12_HUMAN	NM_017703
A0A024R398	A0A024R398_HUMAN	NM_017704
Q8WVL7	ANR49_HUMAN	NM_017704
A0A024R607	A0A024R607_HUMAN	NM_001104554,NM_017705
Q9NXK6	MPRG_HUMAN	NM_001104554,NM_017705
Q9H6Y2	WDR55_HUMAN	NM_017706
A0A024RAB1	A0A024RAB1_HUMAN	NM_017707
Q8TDY4	ASAP3_HUMAN	NM_001143778,NM_017707
Q2M2I3	FA83E_HUMAN	NM_017708
Q5VWP2	FA46C_HUMAN	NM_017709
Q9HCC8	GDPD2_HUMAN	NM_001171191,NM_001171192,NM_001171193,NM_017711
Q9NXJ5	PGPI_HUMAN	NM_001300927,NM_001308366,NM_017712
Q9H6P5	TASP1_HUMAN	NM_017714
Q9NXJ0	M4A12_HUMAN	NM_001164470,NM_017716
A0A024R2Y6	A0A024R2Y6_HUMAN	NM_001100594,NM_017719
Q9NRH2	SNRK_HUMAN	NM_001100594,NM_017719
Q9UGK3	STAP2_HUMAN	NM_001013841,NM_017720
Q6P1N0	C2D1A_HUMAN	NM_017721
A0A024R7I5	A0A024R7I5_HUMAN	NM_001136035,NM_017722
Q9NXH9	TRM1_HUMAN	NM_001136035,NM_001142554,NM_017722
Q9NXH8	TOR4A_HUMAN	NM_017723
Q9Y608	LRRF2_HUMAN	NM_001134369,NM_001282691,NM_006309,NM_017724
Q9NXH3	PP14D_HUMAN	NM_017726
Q6NUQ4	TM214_HUMAN	NM_001083590,NM_017727
A0A024R8L3	A0A024R8L3_HUMAN	NM_017728
Q8NE00	TM104_HUMAN	NM_017728
Q5H8A4	PIGG_HUMAN	NM_001127178,NM_001289051,NM_001289052,NM_001289055,NM_001289057,NM_017733
Q9NP74	PALMD_HUMAN	NM_017734
Q6P3X3	TTC27_HUMAN	NM_001193509,NM_017735
A0A024R388	A0A024R388_HUMAN	NM_001304550,NM_017736
Q6MZT3	Q6MZT3_HUMAN	NM_001304550,NM_017736
Q9NXG2	THUM1_HUMAN	NM_001304550,NM_017736
Q5T0N5	FBP1L_HUMAN	NM_001024948,NM_001164473,NM_017737
Q9NXG0	CNTLN_HUMAN	NM_001114395,NM_017738
Q8WZA1	PMGT1_HUMAN	NM_017739
Q9NXF8	ZDHC7_HUMAN	NM_001145548,NM_017740
Q9NXF7	DCA16_HUMAN	NM_017741
Q9BRD4	Q9BRD4_HUMAN	NM_017742
Q9C0B9	ZCHC2_HUMAN	NM_017742
Q6W2J9	BCOR_HUMAN	NM_001123383,NM_001123384,NM_001123385,NM_017745
A0A024R169	A0A024R169_HUMAN	NM_017746
Q9NXF1	TEX10_HUMAN	NM_001161584,NM_017746
Q9NXE8	CWC25_HUMAN	NM_017748
Q9C0C7	AMRA1_HUMAN	NM_001267782,NM_001267783,NM_001300731,NM_017749
Q6NUM9	RETST_HUMAN	NM_017750
H7BXF4	H7BXF4_HUMAN	NM_017751
Q9NXE4	NSMA3_HUMAN	NM_001171083,NM_017751
Q6BDS2	URFB1_HUMAN	NM_017754
Q08J23	NSUN2_HUMAN	NM_001193455,NM_017755
Q9C0G0	ZN407_HUMAN	NM_001146189,NM_001146190,NM_017757
Q6P6C2	ALKB5_HUMAN	NM_017758
Q53TQ3	IN80D_HUMAN	NM_017759
Q86XI2	CNDG2_HUMAN	NM_001281932,NM_001281933,NM_017760
A0A024RAC2	A0A024RAC2_HUMAN	NM_017761
Q9NPJ4	PNRC2_HUMAN	NM_017761
Q9NXD2	MTMRA_HUMAN	NM_017762
X5D963	X5D963_HUMAN	NM_017762
Q68DV7	RNF43_HUMAN	NM_001305544,NM_001305545,NM_017763
A0A024RA97	A0A024RA97_HUMAN	NM_001040125,NM_017765
Q6ZP29	LAAT1_HUMAN	NM_001040125,NM_001040126,NM_001287531,NM_017765
B3KRV8	B3KRV8_HUMAN	NM_001079843,NM_017766
Q86V15	CASZ1_HUMAN	NM_001079843,NM_017766
Q9H9A6	LRC40_HUMAN	NM_017768
Q7L622	G2E3_HUMAN	NM_001308097,NM_017769
A0A024QZV3	A0A024QZV3_HUMAN	NM_017770
Q9NXB9	ELOV2_HUMAN	NM_017770
B4DJD8	B4DJD8_HUMAN	NM_001289098,NM_001289100,NM_017771
Q7Z7A4	PXK_HUMAN	NM_001289095,NM_001289096,NM_001289098,NM_001289099,NM_001289100,NM_001289101,NM_017771
Q9NU19	TB22B_HUMAN	NM_017772
Q8IWV1	LAX1_HUMAN	NM_001136190,NM_001282878,NM_017773
Q5VV42	CDKAL_HUMAN	NM_017774
A0A024RD83	A0A024RD83_HUMAN	NM_017775
Q6DKK2	TTC19_HUMAN	NM_001271420,NM_017775
Q5JUW0	KRBX4_HUMAN	NM_001129898,NM_001129899,NM_001129900,NM_017776
Q9NXB0	MKS1_HUMAN	NM_001165927,NM_017777
Q5TB30	DEP1A_HUMAN	NM_001114120,NM_017779
Q6ZWF9	Q6ZWF9_HUMAN	NM_017780
Q9P2D1	CHD7_HUMAN	NM_017780
Q8TAV3	CP2W1_HUMAN	NM_017781
Q5VWN6	F208B_HUMAN	NM_017782
Q9BXB5	OSB10_HUMAN	NM_001174060,NM_017784
Q9NX98	Q9NX98_HUMAN	NM_017784
Q96EA4	SPDLY_HUMAN	NM_017785
Q9NX95	SYBU_HUMAN	NM_001099743,NM_001099744,NM_001099745,NM_001099746,NM_001099747,NM_001099748,NM_001099749,NM_001099750,NM_001099751,NM_001099752,NM_001099753,NM_001099754,NM_001099755,NM_001099756,NM_017786
Q9NX94	WBP1L_HUMAN	NM_001083913,NM_017787
Q9C0C4	SEM4C_HUMAN	NM_017789
B3KWG8	B3KWG8_HUMAN	NM_001282923,NM_017790
Q53GP3	Q53GP3_HUMAN	NM_017790
Q9UPI3	FLVC2_HUMAN	NM_001195283,NM_017791
Q9BUL9	RPP25_HUMAN	NM_017793
B3KNV9	B3KNV9_HUMAN	NM_017794
Q5VW36	FOCAD_HUMAN	NM_017794
Q9BX70	BTBD2_HUMAN	NM_017797
Q9BYJ9	YTHD1_HUMAN	NM_017798
B3KN73	B3KN73_HUMAN	NM_017799
Q9NX78	TM260_HUMAN	NM_017799
Q9NX76	CKLF6_HUMAN	NM_017801
B3KPE2	B3KPE2_HUMAN	NM_017802
Q86Y56	DAAF5_HUMAN	NM_017802
A0A024R6Z7	A0A024R6Z7_HUMAN	NM_001271762,NM_017803
Q9NX74	DUS2L_HUMAN	NM_001271762,NM_001271763,NM_017803
Q5U651	RAIN_HUMAN	NM_017805
Q7L251	Q7L251_HUMAN	NM_017805
Q8IUR2	Q8IUR2_HUMAN	NM_017805
Q9H400	LIME1_HUMAN	NM_001305654,NM_001305655,NM_017806
Q9NPF4	OSGEP_HUMAN	NM_017807
Q9NX65	ZSC32_HUMAN	NM_001284527,NM_001284528,NM_001284529,NM_017810
Q712K3	UB2R2_HUMAN	NM_017811
A4D1N4	A4D1N4_HUMAN	NM_017812
Q9NX63	MIC19_HUMAN	NM_017812
A0A024R7W0	A0A024R7W0_HUMAN	NM_017813
Q9NX62	IMPA3_HUMAN	NM_017813
Q9NX61	T161A_HUMAN	NM_001256766,NM_017814
Q9H6D7	HAUS4_HUMAN	NM_001166269,NM_001166270,NM_017815
Q9NX58	LYAR_HUMAN	NM_001145725,NM_017816
Q9NX57	RAB20_HUMAN	NM_017817
Q9P2S5	WRP73_HUMAN	NM_017818
Q7L0Y3	MRRP1_HUMAN	NM_017819
Q8N9H8	MUT7_HUMAN	NM_001286823,NM_017820
B7Z1Y9	B7Z1Y9_HUMAN	NM_001304746,NM_017821
Q9NX52	RHBL2_HUMAN	NM_017821
Q9H9L4	KANL2_HUMAN	NM_017822
Q9BVJ7	DUS23_HUMAN	NM_017823
Q9NX47	MARH5_HUMAN	NM_017824
Q9NX46	ARHL2_HUMAN	NM_017825
Q9NX45	SOLH2_HUMAN	NM_001198910,NM_001282147,NM_017826
Q9NP81	SYSM_HUMAN	NM_001145901,NM_017827
Q9H0A8	COMD4_HUMAN	NM_001284377,NM_001284378,NM_017828
A0A024R9U3	A0A024R9U3_HUMAN	NM_001079839,NM_017830
Q9NX40	OCAD1_HUMAN	NM_001079839,NM_001079840,NM_001079841,NM_001079842,NM_017830
Q96EQ8	RN125_HUMAN	NM_017831
Q9NX38	F206A_HUMAN	NM_017832
Q9NX36	DJC28_HUMAN	NM_001040192,NM_017833
Q9NUD9	PIGV_HUMAN	NM_001202554,NM_017837
Q9NX24	NHP2_HUMAN	NM_001034833,NM_017838
Q7L5N7	PCAT2_HUMAN	NM_017839
Q9NX20	RM16_HUMAN	NM_017840
Q9NX18	SDHF2_HUMAN	NM_017841
Q6P1K1	HRG1_HUMAN	NM_017842
Q6GPI0	Q6GPI0_HUMAN	NM_001282780,NM_001282781,NM_017844
Q9P2S6	ANKY1_HUMAN	NM_001282771,NM_001282780,NM_001282781,NM_016552,NM_017844
Q9NX08	COMD8_HUMAN	NM_017845
Q9NX07	TSAP1_HUMAN	NM_017846
Q5SWX8	ODR4_HUMAN	NM_001164245,NM_001164246,NM_017847
O75204	TM127_HUMAN	NM_001193304,NM_017849
Q9NX04	CA109_HUMAN	NM_001303030,NM_001303031,NM_017850
Q8N5Y8	PAR16_HUMAN	NM_017851
Q9NX02	NALP2_HUMAN	NM_001174081,NM_001174082,NM_001174083,NM_017852
Q9NX01	TXN4B_HUMAN	NM_001142317,NM_001142318,NM_017853
Q9NX00	TM160_HUMAN	NM_017854
A1E959	ODAM_HUMAN	NM_017855
A0A024RBX2	A0A024RBX2_HUMAN	NM_001042479,NM_001042480,NM_017856
Q9NWZ8	GEMI8_HUMAN	NM_001042479,NM_001042480,NM_017856
A0A024R5J4	A0A024R5J4_HUMAN	NM_017857
Q8TE77	SSH3_HUMAN	NM_017857
Q9BVW5	TIPIN_HUMAN	NM_001289986,NM_017858
Q53HM1	Q53HM1_HUMAN	NM_001193379,NM_017859
Q9NWZ5	UCKL1_HUMAN	NM_001193379,NM_017859
Q9BUN1	MENT_HUMAN	NM_017860
Q8TBF5	PIGX_HUMAN	NM_001166304,NM_017861
Q8WUE5	CT55_HUMAN	NM_001031705,NM_017863
Q75QN2	INT8_HUMAN	NM_017864
Q9BU19	ZN692_HUMAN	NM_001136036,NM_001193328,NM_017865
Q9BUB7	TMM70_HUMAN	NM_001040613,NM_017866
Q9NWY4	CD027_HUMAN	NM_017867
A8K8G6	A8K8G6_HUMAN	NM_017868
Q53G14	Q53G14_HUMAN	NM_017868
Q9H892	TTC12_HUMAN	NM_017868
A0A024R0F2	A0A024R0F2_HUMAN	NM_017871
Q5TA45	INT11_HUMAN	NM_001256456,NM_001256460,NM_001256462,NM_001256463,NM_017871
Q9NWX6	THG1_HUMAN	NM_017872
A0A024R2L5	A0A024R2L5_HUMAN	NM_017875
Q96DW6	S2538_HUMAN	NM_017875
Q8N357	S35F6_HUMAN	NM_017877
Q9NWW9	HRSL2_HUMAN	NM_017878
Q9BWM5	ZN416_HUMAN	NM_017879
Q9NWW7	CB042_HUMAN	NM_017880
Q9NWW6	NRK1_HUMAN	NM_001127603,NM_017881
A0A024R601	A0A024R601_HUMAN	NM_017882
Q9NWW5	CLN6_HUMAN	NM_017882
Q9H1Z4	WDR13_HUMAN	NM_001166426,NM_017883
Q96BK5	PINX1_HUMAN	NM_001284356,NM_017884
Q9NWW0	HPIP_HUMAN	NM_001002017,NM_001002018,NM_001288665,NM_001288666,NM_001288667,NM_001288668,NM_017885
B3KSE5	B3KSE5_HUMAN	NM_017886
Q96C45	ULK4_HUMAN	NM_017886
Q9NWV4	CA123_HUMAN	NM_001304759,NM_001304760,NM_017887
Q6NUN0	ACSM5_HUMAN	NM_017888
A0A024R082	A0A024R082_HUMAN	NM_017891
Q96HA4	CA159_HUMAN	NM_017891
O75400	PR40A_HUMAN	NM_017892
Q05C41	Q05C41_HUMAN	NM_017892
Q9NTN9	SEM4G_HUMAN	NM_001203244,NM_017893
A0A024RC69	A0A024RC69_HUMAN	NM_017894
Q96GQ7	DDX27_HUMAN	NM_017895
Q9NWU2	GID8_HUMAN	NM_017896
A0A024R2Q9	A0A024R2Q9_HUMAN	NM_017897
Q9NWU1	OXSM_HUMAN	NM_001145391,NM_017897
Q969Z3	MARC2_HUMAN	NM_017898
Q96BS2	CHP3_HUMAN	NM_001168325,NM_017899
A0A024R0F0	A0A024R0F0_HUMAN	NM_001127229,NM_001127230,NM_017900
Q9NWT8	AKIP_HUMAN	NM_001127229,NM_001127230,NM_017900
B3KSG7	B3KSG7_HUMAN	NM_001143819,NM_017901
Q9ULQ1	TPC1_HUMAN	NM_001143819,NM_001301214,NM_017901
Q9NWT6	HIF1N_HUMAN	NM_017902
Q5TAA0	TTC22_HUMAN	NM_001114108,NM_017904
A0A024RE09	A0A024RE09_HUMAN	NM_017905
Q6UWJ1	TMCO3_HUMAN	NM_017905
Q9NWT1	PK1IP_HUMAN	NM_017906
Q6IAA8	LTOR1_HUMAN	NM_017907
Q9NWS9	ZN446_HUMAN	NM_017908
Q9UFF2	Q9UFF2_HUMAN	NM_017908
Q9NWS8	RMND1_HUMAN	NM_001271937,NM_017909
Q9BVS5	TR61B_HUMAN	NM_017910
A0A024R4V3	A0A024R4V3_HUMAN	NM_001104595,NM_017911
Q9NWS6	F118A_HUMAN	NM_001104595,NM_017911
Q8IVU3	HERC6_HUMAN	NM_001165136,NM_017912
Q7L3B6	CD37L_HUMAN	NM_017913
Q9BVV8	CS024_HUMAN	NM_017914
B4DT40	B4DT40_HUMAN	NM_017915
Q9NWS1	PARI_HUMAN	NM_017915
Q9NWS0	PIHD1_HUMAN	NM_017916
Q969Q6	P2R3C_HUMAN	NM_001305155,NM_001305156,NM_017917
Q9NWR8	MCUB_HUMAN	NM_017918
P56962	STX17_HUMAN	NM_017919
A0A024RA74	A0A024RA74_HUMAN	NM_017920
B2RAT5	B2RAT5_HUMAN	NM_001290076,NM_017920
Q8TCY9	URGCP_HUMAN	NM_001077663,NM_001077664,NM_001290075,NM_001290076,NM_017920
A0A024R8R4	A0A024R8R4_HUMAN	NM_017921
Q8TAT6	NPL4_HUMAN	NM_017921
Q86UA1	PRP39_HUMAN	NM_017922
Q8TCQ1	MARH1_HUMAN	NM_001166373,NM_017923
Q9NWQ9	CN119_HUMAN	NM_017924
Q5VZ89	DEN4C_HUMAN	NM_017925
R4GNB2	R4GNB2_HUMAN	NM_017925
A0A024R6E4	A0A024R6E4_HUMAN	NM_017926
A0A024R100	A0A024R100_HUMAN	NM_001127649,NM_017929
Q7Z412	PEX26_HUMAN	NM_001127649,NM_001199319,NM_017929
Q5R3I4	TTC38_HUMAN	NM_017931
Q7Z2X4	PCLI1_HUMAN	NM_001100818,NM_017933
Q8WWQ0	PHIP_HUMAN	NM_017934
Q8NDB2	BANK1_HUMAN	NM_001083907,NM_001127507,NM_017935
Q5JRV8	T255A_HUMAN	NM_001104544,NM_001104545,NM_017938
Q7Z4S8	Q7Z4S8_HUMAN	NM_001104544,NM_001104545,NM_017938
Q3BBV0	NBPF1_HUMAN	NM_017940
A0A024R8P4	A0A024R8P4_HUMAN	NM_017941
Q9BSJ5	CQ080_HUMAN	NM_001100621,NM_001100622,NM_001288770,NM_001288771,NM_017941
Q96K76	UBP47_HUMAN	NM_001282659,NM_017944
Q9BS91	S35A5_HUMAN	NM_017945
A0A090N7V8	A0A090N7V8_HUMAN	NM_017946
Q9NWM8	FKB14_HUMAN	NM_017946
Q96EN8	MOCOS_HUMAN	NM_017947
Q76FK4	NOL8_HUMAN	NM_001256394,NM_017948
Q4G0X9	CCD40_HUMAN	NM_001243342,NM_017950
B1PBA3	B1PBA3_HUMAN	NM_017951
Q96EY7	PTCD3_HUMAN	NM_017952
Q9NWK9	BCD1_HUMAN	NM_001170670,NM_017953
Q86UW7	CAPS2_HUMAN	NM_001009571,NM_001167940,NM_017954
Q53H54	TYW2_HUMAN	NM_017956
Q9H201	EPN3_HUMAN	NM_017957
Q96CS7	PKHB2_HUMAN	NM_001100623,NM_001267062,NM_001267063,NM_001267064,NM_001267065,NM_001267066,NM_001267067,NM_001267068,NM_017958
Q6NXT4	ZNT6_HUMAN	NM_001193513,NM_001193514,NM_001193515,NM_017964
A5D8V6	VP37C_HUMAN	NM_017966
Q96ST2	IWS1_HUMAN	NM_017969
Q9H7Z3	NRDE2_HUMAN	NM_017970
Q9BYC9	RM20_HUMAN	NM_017971
A0A024R6J0	A0A024R6J0_HUMAN	NM_017972
Q9NWQ4	GPT2L_HUMAN	NM_017926,NM_017972
A0A024R494	A0A024R494_HUMAN	NM_017974
Q9H900	ZWILC_HUMAN	NM_001287821,NM_001287822,NM_001287823,NM_017975
Q7Z4I7	LIMS2_HUMAN	NM_001136037,NM_001161403,NM_001161404,NM_001256542,NM_017980
B3KTY0	B3KTY0_HUMAN	NM_017982
Q5VX71	SUSD4_HUMAN	NM_001037175,NM_017982
Q5MNZ9	WIPI1_HUMAN	NM_017983
Q9H0M4	ZCPW1_HUMAN	NM_001258008,NM_017984
Q9NWF4	S52A1_HUMAN	NM_001104577,NM_017986
Q8WXA3	RUFY2_HUMAN	NM_001042417,NM_001278225,NM_017987
Q6P3W7	SCYL2_HUMAN	NM_017988
Q8NCN5	PDPR_HUMAN	NM_017990
A0A024RDT8	A0A024RDT8_HUMAN	NM_001127615,NM_001242863,NM_017993
Q8TC92	ENOX1_HUMAN	NM_001127615,NM_001242863,NM_017993
A0A024RDK7	A0A024RDK7_HUMAN	NM_017994
Q9NWD8	TM248_HUMAN	NM_017994
Q7L5Y6	DET1_HUMAN	NM_001144074,NM_017996
Q8IXQ3	CI040_HUMAN	NM_017998
Q96EP0	RNF31_HUMAN	NM_017999
Q8N565	MREG_HUMAN	NM_018000
Q9BZF9	UACA_HUMAN	NM_001008224,NM_018003
Q9NWC5	TM45A_HUMAN	NM_018004
O75648	MTU1_HUMAN	NM_001282783,NM_001282784,NM_001282785,NM_018006
Q8TBJ5	FEZF2_HUMAN	NM_018008
Q9BX59	TPSNR_HUMAN	NM_018009
Q9NWB7	IFT57_HUMAN	NM_018010
A0A024RDW4	A0A024RDW4_HUMAN	NM_018011
Q9NWB6	ARGL1_HUMAN	NM_018011
Q2KJY2	KI26B_HUMAN	NM_018012
A7XYQ1	SOBP_HUMAN	NM_018013
Q24K27	Q24K27_HUMAN	NM_018013
D9YZV9	D9YZV9_HUMAN	NM_018014
Q6NSI4	CX057_HUMAN	NM_001184782,NM_018015
Q7Z3E2	CC186_HUMAN	NM_018017
A0A024R0X7	A0A024R0X7_HUMAN	NM_001143824,NM_018018
Q969I6	S38A4_HUMAN	NM_001143824,NM_018018
Q9NWA0	MED9_HUMAN	NM_018019
A0A024QZ97	A0A024QZ97_HUMAN	NM_001136216,NM_001136217,NM_001136218,NM_018022
Q9NW97	TMM51_HUMAN	NM_001136216,NM_001136217,NM_001136218,NM_018022
Q9ULM3	YETS2_HUMAN	NM_018023
Q96HA8	NTAQ1_HUMAN	NM_001283024,NM_018024
Q9BRR8	GPTC1_HUMAN	NM_018025
A0A024R5H6	A0A024R5H6_HUMAN	NM_018026
Q6VY07	PACS1_HUMAN	NM_018026
Q9P2Q2	FRM4A_HUMAN	NM_018027
A0A024R0N7	A0A024R0N7_HUMAN	NM_018028
Q5PRF9	SMAG2_HUMAN	NM_001303614,NM_018028
Q6P2I7	EBLN2_HUMAN	NM_018029
Q6GSK5	Q6GSK5_HUMAN	NM_018030
A0A087X295	A0A087X295_HUMAN	NM_018031
B3KRR8	B3KRR8_HUMAN	NM_018031
Q9H9M3	Q9H9M3_HUMAN	NM_018031
Q9NNW5	WDR6_HUMAN	NM_018031
Q1W6G4	Q1W6G4_HUMAN	NM_018032
Q9NW82	WDR70_HUMAN	NM_018034
A0A024R0K4	A0A024R0K4_HUMAN	NM_018035
Q9NW81	AT5SL_HUMAN	NM_001167867,NM_001167868,NM_001167869,NM_001167870,NM_001167871,NM_018035
Q96BY7	ATG2B_HUMAN	NM_018036
Q6B0I6	KDM4D_HUMAN	NM_018039
Q9NW75	GPTC2_HUMAN	NM_001297754,NM_018040
Q8IYM2	SLN12_HUMAN	NM_001289009,NM_018042
Q5XXA6	ANO1_HUMAN	NM_018043
Q9NW72	Q9NW72_HUMAN	NM_018043
Q9NW68	BSDC1_HUMAN	NM_001143888,NM_001143889,NM_001143890,NM_001300958,NM_018045
Q8N302	AGGF1_HUMAN	NM_018046
Q9NW64	RBM22_HUMAN	NM_018047
A0A023T6R1	A0A023T6R1_HUMAN	NM_018048
Q96A72	MGN2_HUMAN	NM_018048
Q9NW61	PKHJ1_HUMAN	NM_018049
Q9H8J5	MANS1_HUMAN	NM_018050
Q8WVS4	WDR60_HUMAN	NM_018051
Q08AM6	VAC14_HUMAN	NM_018052
Q9NTB8	Q9NTB8_HUMAN	NM_018052
Q9H6D3	XKR8_HUMAN	NM_018053
Q68EM7	RHG17_HUMAN	NM_001006634,NM_018054
Q96S42	NODAL_HUMAN	NM_018055
Q9BT39	Q9BT39_HUMAN	NM_018056
Q9GZU3	TM39B_HUMAN	NM_018056
Q9NQ79	CRAC1_HUMAN	NM_001206528,NM_018058
Q96JH8	RADIL_HUMAN	NM_018059
Q9NSE4	SYIM_HUMAN	NM_018060
Q5VTL8	PR38B_HUMAN	NM_018061
Q69YH0	Q69YH0_HUMAN	NM_018061
Q9NW38	FANCL_HUMAN	NM_001114636,NM_018062
Q9NRZ9	HELLS_HUMAN	NM_001289067,NM_001289068,NM_001289069,NM_001289070,NM_001289071,NM_001289072,NM_001289073,NM_001289074,NM_001289075,NM_018063
Q53H80	AKIR2_HUMAN	NM_018064
Q9NW35	Q9NW35_HUMAN	NM_018064
Q9H9Y4	GPN2_HUMAN	NM_018066
Q3KQU3	MA7D1_HUMAN	NM_001286365,NM_001286366,NM_018067
Q8TC59	PIWL2_HUMAN	NM_001135721,NM_018068
W0HK13	W0HK13_HUMAN	NM_001135721,NM_018068
Q8TER5	ARH40_HUMAN	NM_001278529,NM_018071
A2VDI1	A2VDI1_HUMAN	NM_018072
B2RWN5	B2RWN5_HUMAN	NM_018072
Q9H583	HEAT1_HUMAN	NM_018072
Q6AZZ1	TRI68_HUMAN	NM_001304496,NM_018073
Q9BW85	CCD94_HUMAN	NM_018074
A0A024R2S0	A0A024R2S0_HUMAN	NM_018075
Q9NW15	ANO10_HUMAN	NM_001204831,NM_001204832,NM_001204833,NM_001204834,NM_018075
B7Z7Y0	B7Z7Y0_HUMAN	NM_001290020,NM_001290021,NM_018076
Q5T2S8	ARMC4_HUMAN	NM_001290020,NM_001290021,NM_018076
A0A024R753	A0A024R753_HUMAN	NM_018077
Q9NW13	RBM28_HUMAN	NM_001166135,NM_018077
Q8N5C6	SRBD1_HUMAN	NM_018079
Q9BUR4	WAP53_HUMAN	NM_001143990,NM_001143991,NM_001143992,NM_018081
Q7Z3R8	Q7Z3R8_HUMAN	NM_018082
Q9NW08	RPC2_HUMAN	NM_001160708,NM_018082
Q9NW07	ZN358_HUMAN	NM_018083
Q3V6T2	GRDN_HUMAN	NM_001135597,NM_001254943,NM_018084
Q96P70	IPO9_HUMAN	NM_018085
Q5HY92	FIGN_HUMAN	NM_018086
Q9BTX1	NDC1_HUMAN	NM_001168551,NM_018087
Q86YD7	F90A1_HUMAN	NM_018088
A0A024R464	A0A024R464_HUMAN	NM_001042410,NM_018089
Q9H8Y5	ANKZ1_HUMAN	NM_001042410,NM_018089
A0A024QZ81	A0A024QZ81_HUMAN	NM_018090
Q9NVZ3	NECP2_HUMAN	NM_001145277,NM_001145278,NM_018090
Q9H9T3	ELP3_HUMAN	NM_001284222,NM_001284224,NM_001284225,NM_001284226,NM_018091
Q8NC67	NETO2_HUMAN	NM_001201477,NM_018092
Q6RFH5	WDR74_HUMAN	NM_001307977,NM_018093
Q8IYD1	ERF3B_HUMAN	NM_018094
Q9NVX7	KBTB4_HUMAN	NM_016506,NM_018095
Q9NVX2	NLE1_HUMAN	NM_001014445,NM_018096
A0A024R9P0	A0A024R9P0_HUMAN	NM_018097
Q9NVX0	HAUS2_HUMAN	NM_001130447,NM_018097
Q9H8V3	ECT2_HUMAN	NM_001258315,NM_001258316,NM_018098
A0A024RAW7	A0A024RAW7_HUMAN	NM_001271783,NM_018099
B2RBI0	B2RBI0_HUMAN	NM_001271783,NM_018099
Q96K12	FACR2_HUMAN	NM_001271783,NM_018099
Q9NUX8	Q9NUX8_HUMAN	NM_001271783,NM_001271784,NM_018099
B2CKC5	B2CKC5_HUMAN	NM_001172420,NM_018100
Q5JVL4	EFHC1_HUMAN	NM_001172420,NM_018100
Q53HL2	BOREA_HUMAN	NM_001256875,NM_018101
Q5XKG8	Q5XKG8_HUMAN	NM_001270497,NM_018102
Q9HCZ1	ZN334_HUMAN	NM_018102
Q7L1W4	LRC8D_HUMAN	NM_001134479,NM_018103
Q96GG5	Q96GG5_HUMAN	NM_018103
A0A024QZS8	A0A024QZS8_HUMAN	NM_001134387,NM_001134388,NM_001134389,NM_018106
Q9NPG8	ZDHC4_HUMAN	NM_001134387,NM_001134388,NM_001134389,NM_018106
Q86U06	RBM23_HUMAN	NM_001077351,NM_001077352,NM_001308044,NM_018107
Q9NVV4	PAPD1_HUMAN	NM_018109
A0A024R6S2	A0A024R6S2_HUMAN	NM_018110
Q8TEW6	DOK4_HUMAN	NM_018110
Q9NVV2	CS073_HUMAN	NM_018111
Q9NVV0	TM38B_HUMAN	NM_018112
A0A024R0Y9	A0A024R0Y9_HUMAN	NM_018113
Q6UX01	LMBRL_HUMAN	NM_001300750,NM_001300751,NM_018113
Q5D0E6	DALD3_HUMAN	NM_001009996,NM_001276405,NM_018114
Q9NVU7	SDA1_HUMAN	NM_001288983,NM_001288984,NM_018115
Q9BUK6	MSTO1_HUMAN	NM_001256532,NM_001256533,NM_018116
Q9BZH6	WDR11_HUMAN	NM_018117
Q9NVU0	RPC5_HUMAN	NM_001258033,NM_001258034,NM_001258035,NM_001258036,NM_018119
Q9NVT9	ARMC1_HUMAN	NM_001286702,NM_018120
Q8IX21	F178A_HUMAN	NM_001136123,NM_001243770,NM_018121
A0A024R8Z9	A0A024R8Z9_HUMAN	NM_018122
Q6PI48	SYDM_HUMAN	NM_018122
Q9H9J7	Q9H9J7_HUMAN	NM_018122
Q6PCD5	RFWD3_HUMAN	NM_018124
Q9HCE6	ARGAL_HUMAN	NM_001011722,NM_018125
